"English Name","FCI Breed Group","AKC Breed Group","Czech Name","German Name","Hungarian Name","Japanese Name","Polish Name","Turkish Name"
"Affenpinscher","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","Toy Group","Opičí pinč","Affenpinscher","Affenpinscher","アーフェンピンシャー","Pinczer małpi","Affenpinscher"
"Afghan Hound","Group 10: Sighthounds","Hound Group","Afgánský chrt","Afghanischer Windhund","Afgán agár","アフガンハウンド","Chart afgański","Afgan Tazısı"
"Aidi","Group 2: Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs",NA,"Aidi","Aidi","Aidi","アイディ","Aidi","Aidi"
"Airedale Terrier","Group 3: Terriers","Terrier Group","Airedale terier","Airedale Terrier","Airedale terrier","エアデール・テリア","Airedale Terrier","Airedale Teriyeri"
"Akbash",NA,NA,"Akbaš","Akbash","Akbash","アクバシュ","Akbash","Akbaş"
"Akita (American)","Group 5: Spitz and primitive types","Working Group","Americká akita","Akita (Amerikanisch)","Akita (amerikai)","秋田犬(アメリカン)","Akita (amerykańska)","Akita (Amerikan)"
"Akita (Japanese)","Group 5: Spitz and primitive types","Miscellaneous Class","Akita Inu","Akita (Japanisch)","Akita (japán)","秋田犬","Akita (japońska)","Akita (Japonca)"
"Alapaha Blue Blood Bulldog",NA,NA,"Alapaha Blue Blood Bulldog","Alapaha Blaublut-Bulldogge","Alapaha kékvérű bulldog","アラパハ・ブルーブラッド・ブルドッグ","Alapaha Blue Blood Bulldog","Alapaha Mavi Kanlı Bulldog"
"Alaskan Klee Kai",NA,"Miscellaneous Class","Kai","Alaskan Klee Kai","Alaszkai Klee Kai","アラスカン・クリー・カイ","Alaskan Klee Kai","Alaskan Klee Kai"
"Alaskan Malamute","Group 5: Spitz and primitive types","Working Group","Aljašský malamut","Alaskan Malamute","Alaszkai malamut","アラスカン・マラミュート","Alaskan Malamute","Alaska Malamutu"
"Alpine Dachsbracke","Group 6: Scent hounds and related breeds",NA,"Alpský jezevčíkovitý brakýř","Alpenländische Dachsbracke","Alpesi tacskókopó","アルペン・ダックスブラッケ","Alpejski gończy krótkonożny","Alpine Dachsbracke"
"American Bulldog",NA,"Foundation Stock Services","Americký buldok","Amerikanische Bulldogge","Amerikai bulldog","アメリカンブルドッグ","Bulldog amerykański","Amerikan Bulldog"
"American English Coonhound",NA,"Hound Group","American English Coonhound","Amerikanischer English Coonhound","Amerikai angol mosómedvekutya","アメリカン・イングリッシュ・クーンハウンド","Amerykański angielski coonhound","Amerikan İngiliz Coonhound"
"American Eskimo Dog (Miniature)",NA,NA,"Americký eskymácký pes (miniaturní)","Amerikanischer Eskimohund (Miniatur)","Amerikai eszkimó kutya (miniatűr)","アメリカン・エスキモー・ドッグ（ミニチュア）","Amerykański pies eskimoski (miniaturowy)","Amerikan Eskimo Köpeği (Minyatür)"
"American Eskimo Dog (Standard)",NA,"Non-Sporting Group","Americký eskymácký pes (standard)","Amerikanischer Eskimohund (Standard)","Amerikai eszkimó kutya (standard)","アメリカン・エスキモー・ドッグ（スタンダード）","Amerykański pies eskimoski (standardowy)","Amerikan Eskimo Köpeği (Standart)"
"American Eskimo Dog (Toy)",NA,NA,"Americký eskymácký pes (toy)","Amerikanischer Eskimohund (Toy)","Amerikai eszkimó kutya (játék)","アメリカン・エスキモー・ドッグ（トイ）","Amerykański pies eskimoski (toy)","Amerikan Eskimo Köpeği (Oyuncak)"
"American Foxhound","Group 6: Scent hounds and related breeds","Hound Group","Americký foxhound","Amerikanischer Foxhound","Amerikai rókakutya","アメリカン・フォックスハウンド","Amerykański Foxhound","Amerikan Tilki Tazısı"
"American Hairless Terrier",NA,"Terrier Group","Americký bezsrstý terier","Amerikanischer Nackthund","Amerikai meztelen terrier","アメリカン・ヘアレス・テリア","Amerykański terier bezwłosy","Amerikan Tüysüz Teriyeri"
"American Leopard Hound",NA,"Foundation Stock Services","American Leopard Hound","Amerikanischer Leopardenhund","Amerikai leopárdkutya","アメリカン・レパード・ハウンド","Amerykański pies gończy","Amerikan Leopar Tazısı"
"American Pit Bull Terrier",NA,NA,"Americký pitbull teriér","Amerikanischer Pitbull Terrier","Amerikai pitbull terrier","アメリカン・ピット・ブル・テリア","Amerykański Pit Bull Terrier","Amerikan Pit Bull Teriyeri"
"American Staffordshire Terrier","Group 3: Terriers","Terrier Group","Americký stafordširský terier","Amerikanischer Staffordshire Terrier","Amerikai staffordshire terrier","アメリカン・スタッフォードシャー・テリア","Amerykański staffordshire terrier","Amerikan Staffordshire Teriyeri"
"American Water Spaniel","Group 8: Retrievers - Flushing Dogs - Water Dogs","Sporting Group","Americký vodní španěl","Amerikanischer Wasserspaniel","Amerikai vízispániel","アメリカン・ウォーター・スパニエル","Amerykański spaniel wodny","Amerikan Su Spaniel&#39;i"
"Anatolian Shepherd Dog",NA,"Working Group","Anatolský pastevecký pes","Anatolischer Hirtenhund","Anatóliai juhászkutya","アナトリアン・シェパード・ドッグ","Owczarek anatolijski","Anadolu Çoban Köpeği"
"Anglo-Français de Moyen Venerie",NA,NA,"Anglo-franc. honič de Moyen Venerie","Anglo-Français de Moyen Venerie","Anglo-Français de Moyen Venerie","アングロ＝フランセ・ド・モワン・ヴェヌリー","Anglo-Français de Moyen Venerie","İngiliz-Français de Moyen Venerie"
